Širak	AM.07	AM-SH	REGION	Shirak	1		7
Tavuš	AM.09	AM-TV	REGION	Tavush	1		7
Lunda-Sul	AO.18	AO-LSU	PROVINCE	Lunda Sul	1		8
Lunda-Norte	AO.17	AO-LNO	PROVINCE	Luanda|Luanda Norte	1		8
Moxico	AO.14	AO-MOX	PROVINCE		1		8
Kuando Kubango	AO.04	AO-CCU	PROVINCE	Cuando Cobango|Cuando Cubango	1		8
Zaire	AO.16	AO-ZAI	PROVINCE		1		8
Uíge	AO.15	AO-UIG	PROVINCE		1		8
Malange	AO.12	AO-MAL	PROVINCE	Malanje	1		8
Luanda	AO.20				1		8
Kwanza Norte	AO.05	AO-CNO	PROVINCE	Cuanza Norte|Cuanza-Norte	1		8
Cabinda	AO.03	AO-CAB	PROVINCE		1		8
Bengo	AO.19	AO-BGO	PROVINCE		1		8
Namibe	AO.13	AO-NAM	PROVINCE		1		8
Huíla	AO.09	AO-HUI	PROVINCE		1		8
Huambo	AO.08	AO-HUA	PROVINCE		1		8
Cunene	AO.07	AO-CNN	PROVINCE		1		8
Kwanza Sul	AO.06	AO-CUS	PROVINCE	Cuanza-Sul	1		8
Bié	AO.02	AO-BIE	PROVINCE	Bíe	1		8
Benguela	AO.01	AO-BGU	PROVINCE		1		8
Misiones	AR.14	AR-N	PROVINCE		1		10
Formosa	AR.09	AR-P	PROVINCE		1		10
Ciudad Autónoma de Buenos Aires	AR.07	AR-C	CITY	Buenos Aires|Buenos Aires F.D.	1		10
Entre Ríos	AR.08	AR-E	PROVINCE	Entre Rios	1		10
Corrientes	AR.06	AR-W	PROVINCE		1		10
Buenos Aires	AR.01				1		10
Tucumán	AR.24	AR-T	PROVINCE	Tucuman	1		10
Tierra del Fuego	AR.23	AR-V	PROVINCE		1		10
Santiago del Estero	AR.22	AR-G	PROVINCE		1		10
Santa Fe	AR.21	AR-S	PROVINCE		1		10
Santa Cruz	AR.20	AR-Z	PROVINCE		1		10
San Luis	AR.19	AR-D	PROVINCE		1		10
San Juan	AR.18	AR-J	PROVINCE		1		10
Salta	AR.17	AR-A	PROVINCE		1		10
Río Negro	AR.16	AR-R	PROVINCE	Rio Negro	1		10
Neuquén	AR.15	AR-Q	PROVINCE	Neuquen	1		10
Mendoza	AR.13	AR-M	PROVINCE		1		10
La Rioja	AR.12	AR-F	PROVINCE		1		10
La Pampa	AR.11	AR-L	PROVINCE		1		10
Jujuy	AR.10	AR-Y	PROVINCE		1		10
Córdoba	AR.05	AR-X	PROVINCE	Cordoba	1		10
Chubut	AR.04	AR-U	PROVINCE		1		10
Chaco	AR.03	AR-H	PROVINCE		1		10
Catamarca	AR.02	AR-K	PROVINCE		1		10
Western District	AS.050				1		11
Swains Island	AS.040				1		11
Eastern District	AS.010				1		11
Manu'a	AS.020				1		11
Rose Island	AS.030				1		11
Wien	AT.09	AT-9	STATE	Vienna	1		12
Vorarlberg	AT.08	AT-8	STATE		1		12
Tirol	AT.07	AT-7	STATE	Tyrol	1		12
Steiermark	AT.06	AT-6	STATE	Styria	1		12
Salzburg	AT.05	AT-5	STATE		1		12
Oberösterreich	AT.04	AT-4	STATE	Upper Austria	1		12
Niederösterreich	AT.03	AT-3	STATE	Lower Austria	1		12
Kärnten	AT.02	AT-2	STATE	Carinthia	1		12
Burgenland	AT.01	AT-1	STATE		1		12
Western Australia	AU.08	AU-WA	STATE		1		13
South Australia	AU.05	AU-SA	STATE		1		13
Northern Territory	AU.03	AU-NT	TERRITORY		1		13
Victoria	AU.07	AU-VIC	STATE		1		13
Tasmania	AU.06	AU-TAS	STATE		1		13
Queensland	AU.04	AU-QLD	STATE		1		13
New South Wales	AU.02	AU-NSW	STATE		1		13
Australian Capital Territory	AU.01	AU-ACT	TERRITORY		1		13
Mariehamns stad	AX.211				1		15
Ålands landsbygd	AX.212				1		15
Ålands skärgård	AX.213				1		15
Beyləqan	AZ.12	AZ-BEY	RAYON		1		16
Zəngilan	AZ.69	AZ-ZAN	RAYON	Zangilan District	1		16
Yardımlı	AZ.66	AZ-YAR	RAYON	Yardimli District	1		16
Şuşa	AZ.55	AZ-SUS	RAYON	Shusha	1		16
Salyan	AZ.49	AZ-SAL	RAYON	Salyan District	1		16
Sabirabad	AZ.46	AZ-SAB	RAYON	Sabirabad District	1		16
Saatlı	AZ.45	AZ-SAT	RAYON		1		16
Biləsuvar	AZ.13	AZ-BIL	RAYON	Bilasuvar District	1		16
Neftçala	AZ.36	AZ-NEF	RAYON	Naftalan	1		16
Naxçıvan	AZ.35	AZ-NX	AUTONOMOUS REPUBLIC	Nakhichevan ASSR	1		16
Masallı	AZ.32	AZ-MAS	RAYON	Masally	1		16
Lerik	AZ.31	AZ-LER	RAYON	Lerik District	1		16
Lənkəran	AZ.29	AZ-LAN	RAYON		1		16
Laçın	AZ.28	AZ-LAC	RAYON		1		16
Qubadlı	AZ.43	AZ-QBI	RAYON		1		16
İmişli	AZ.24	AZ-IMI	RAYON		1		16
Füzuli	AZ.18	AZ-FUZ	RAYON	Fuzuli District	1		16
Cəbrayıl	AZ.14	AZ-CAB	RAYON	Jabrayil	1		16
Cəlilabad	AZ.15	AZ-CAL	RAYON	Jalilabad	1		16
Ağstafa	AZ.08	AZ-AGA	RAYON	Astara	1		16
Xocalı	AZ.64	AZ-XCI	RAYON		1		16
Ağcabədi	AZ.02	AZ-AGC	RAYON	Ağcabǝdi	1		16
Ağdaş	AZ.03	AZ-AGS	RAYON	Ağdam	1		16
Şirvan	AZ.07	AZ-SR	MUNICIPALITY	Shirvan	1		16
Lankaran Sahari	AZ.30				1		16
Shusha City	AZ.56				1		16
Tərtər	AZ.57	AZ-TAR	RAYON	Tartar District	1		16
Xankəndi	AZ.61	AZ-XA	MUNICIPALITY	Xankǝndi	1		16
Xocavənd	AZ.65	AZ-XVD	RAYON	Khojavend	1		16
Zərdab	AZ.71	AZ-ZAR	RAYON		1		16
Zaqatala	AZ.70	AZ-ZAQ	RAYON	Zaqatala District	1		16
Yevlax	AZ.67	AZ-YEV	RAYON		1		16
